Food code,Main food description
24122100,chicken
24122110,chicken
24122120,chicken
24123100,chicken
24123110,chicken
24123120,chicken
24124100,chicken
24124101,chicken
24124110,chicken
24124111,chicken
24124112,chicken
24124113,chicken
24124114,chicken
24124115,chicken
24124120,chicken
24124121,chicken
24124122,chicken
24124123,chicken
24124124,chicken
24124125,chicken
24127100,chicken
24127101,chicken
24127110,chicken
24127111,chicken
24127112,chicken
24127113,chicken
24127114,chicken
24127115,chicken
24127119,chicken
24127120,chicken
24127121,chicken
24127122,chicken
24127123,chicken
24127124,chicken
24127125,chicken
24127130,chicken
24127135,chicken
24127140,chicken
24127141,chicken
24127150,chicken
24127151,chicken
24127152,chicken
24127153,chicken
24127154,chicken
24127155,chicken
24127160,chicken
24127161,chicken
24127162,chicken
24127163,chicken
24127164,chicken
24127165,chicken
24130200,chicken
24130210,chicken
24130220,chicken
24132200,chicken
24132210,chicken
24132220,chicken
24133200,chicken
24133210,chicken
24133220,chicken
24134200,chicken
24134201,chicken
24134210,chicken
24134211,chicken
24134220,chicken
24134221,chicken
24137200,chicken
24137201,chicken
24137210,chicken
24137211,chicken
24137220,chicken
24137221,chicken
24137240,chicken
24137241,chicken
24137250,chicken
24137251,chicken
24137260,chicken
24137261,chicken
24140200,chicken
24140210,chicken
24140220,chicken
24142200,chicken
24142210,chicken
24142220,chicken
24143200,chicken
24143210,chicken
24143220,chicken
24144200,chicken
24144201,chicken
24144210,chicken
24144211,chicken
24144212,chicken
24144213,chicken
24144214,chicken
24144215,chicken
24144220,chicken
24144221,chicken
24144222,chicken
24144223,chicken
24144224,chicken
24144225,chicken
24147119,chicken
24147200,chicken
24147201,chicken
24147210,chicken
24147211,chicken
24147212,chicken
24147213,chicken
24147214,chicken
24147215,chicken
24147220,chicken
24147221,chicken
24147222,chicken
24147223,chicken
24147224,chicken
24147225,chicken
24147230,chicken
24147235,chicken
24147240,chicken
24147241,chicken
24147250,chicken
24147251,chicken
24147252,chicken
24147253,chicken
24147254,chicken
24147255,chicken
24147260,chicken
24147261,chicken
24147262,chicken
24147263,chicken
24147264,chicken
24147265,chicken
24150200,chicken
24150210,chicken
24150220,chicken
24152200,chicken
24152210,chicken
24152220,chicken
24153200,chicken
24153210,chicken
24153220,chicken
24154200,chicken
24154201,chicken
24154210,chicken
24154211,chicken
24154212,chicken
24154213,chicken
24154214,chicken
24154215,chicken
24154220,chicken
24154221,chicken
24154222,chicken
24154223,chicken
24154224,chicken
24154225,chicken
24157119,chicken
24157200,chicken
24157201,chicken
24157210,chicken
24157211,chicken
24157212,chicken
24157213,chicken
24157214,chicken
24157215,chicken
24157220,chicken
24157221,chicken
24157222,chicken
24157223,chicken
24157224,chicken
24157225,chicken
24157230,chicken
24157235,chicken
24157240,chicken
24157241,chicken
24157250,chicken
24157251,chicken
24157252,chicken
24157253,chicken
24157254,chicken
24157255,chicken
24157260,chicken
24157261,chicken
24157262,chicken
24157263,chicken
24157264,chicken
24157265,chicken
24160100,chicken
24160110,chicken
24160120,chicken
24162100,chicken
24162110,chicken
24162120,chicken
24163100,chicken
24163110,chicken
24163120,chicken
24164100,chicken
24164101,chicken
24164110,chicken
24164111,chicken
24164112,chicken
24164113,chicken
24164114,chicken
24164115,chicken
24164120,chicken
